year,category,question,answer,percentage,total_answers
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Ex-boyfriend/ex-husband/former partner,21,231
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,7,77
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,7,77
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Brother/brother -in -law,6,66
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,3,33
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,3,33
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,0,0
2015,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,3,33
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,39,435
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Ex-boyfriend/ex-husband/former partner,33,368
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,5,55
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Brother/brother -in -law,5,55
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,4,44
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,2,22
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,2,22
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,1,11
2017,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,14,156
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,56,1344
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Ex-boyfriend/ex-husband/former partner,40,960
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,8,192
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,6,144
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,6,144
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,5,120
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Brother/brother -in -law,2,48
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,1,24
2019,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,1,24
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,51,1530
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,5,150
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Ex-boyfriend/ex-husband/former partner,20,600
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,7,210
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Brother/brother -in -law,2,60
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,0,0
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,2,60
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,7,210
2021,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,7,210
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Husband/Companion,52,11329
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Ex-boyfriend/ex-husband/former partner,15,3268
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Father/stepfather,7,1525
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Boyfriend,6,1307
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Brother/brother -in -law,5,1089
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Uncle/cousin,2,435
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Son/Stepker,1,217
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",Other,10,2178
2023,The violence lived / witnessed,"Regarding the bond, what is the aggressor yours?",NS/NR,4,871
2005,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought family help,22,179
2005,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a Women's Police Station,22,179
2005,The violence lived / witnessed,What was your attitude towards the last aggression?,Did nothing,19,154
2005,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a common police station,16,130
2005,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought help from friends,6,48
2005,The violence lived / witnessed,What was your attitude towards the last aggression?,NS/NR,15,122
2007,The violence lived / witnessed,What was your attitude towards the last aggression?,Did nothing,28,223
2007,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a common police station,23,183
2007,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a Women's Police Station,19,151
2007,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought family help,17,135
2007,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought help from friends,8,63
2007,The violence lived / witnessed,What was your attitude towards the last aggression?,NS/NR,6,47
2009,The violence lived / witnessed,What was your attitude towards the last aggression?,Other,29,239
2009,The violence lived / witnessed,What was your attitude towards the last aggression?,Did nothing,23,190
2009,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a common police station,15,124
2009,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought family help,15,124
2009,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a Women's Police Station,13,107
2009,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought help from friends,3,24
2009,The violence lived / witnessed,What was your attitude towards the last aggression?,NS/NR,1,8
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Did nothing,23,310
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Other,22,297
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a common police station,17,229
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought family help,16,216
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a Women's Police Station,11,148
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought help from friends,5,67
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought the church,5,67
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Called the Women's Service Center,0,0
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,Sought a specialized association or entity (NGO),0,0
2011,The violence lived / witnessed,What was your attitude towards the last aggression?,NS/NR,1,13
2013,The violence lived / witnessed,What was your attitude towards the last aggression?,Denounced in a common police station,20,249
